주소,위도,경도,지점
부산광역시 부산진구 부전동 227-2 삼정타워 11층부산광역시 부산진구 중앙대로 672 삼정타워 11층(부전동),129.0596068,35.1530108,CGV서면삼정타워
"부산광역시 부산진구 서면로 39, KT&G상상마당 부산 8층부산광역시 부산진구 부전동 521-1 KT&G상상마당 부산 8층",129.0573031,35.1542789,CGV서면상상마당
"부산광역시 해운대구 우동 1495번지 신세계센텀시티 7층부산광역시 해운대구 센텀남대로 35, 7층(우동)",129.1295857,35.1689629,CGV센텀시티
부산광역시 연제구 거제2동 1208번지 홈플러스부산광역시 연제구 종합운동장로 7(거제동),129.0614127,35.1909444,CGV아시아드
"울산광역시 동구 방어동58-2,3울산광역시 동구 등대로50",129.4309504,35.4898849,CGV울산동구
"울산광역시 남구 삼산동 1569-1번지 업스퀘어 5~8층울산광역시 남구 화합로 185, 5층(삼산동)",129.3388287,35.5419627,CGV울산삼산
울산광역시 북구 신천동 51 LEEPLEX 6층울산광역시 북구 매산1로 17 LEEPLEX 6층 (신천동),129.3557742,35.6349816,CGV울산신천
울산광역시 북구 진장동 120-9울산광역시 북구 진장유통로 51-10(진장동),129.3559333,35.5758471,CGV울산진장
"부산시 기장군 정관읍 매학리 717-6부산시 기장군 정관읍 정관중앙로45 10,11층",129.1783912,35.3214152,CGV정관
부산시 사하구 하단동 526-6부산시 사하구 낙동남로 1413 아트몰링 문화관 7F,128.9663798,35.1066959,CGV하단아트몰링
부산광역시 해운대구 우동 539-10 라뮤에뜨 2층 CGV부산광역시 해운대구 해운대로 620 라뮤에뜨 2층 CGV,129.1584974,35.162989,CGV해운대
부산광역시 북구 화명동 2275-1 센츄리빌딩부산광역시 북구 화명대로 16(화명동),129.0097575,35.2347651,CGV화명
부산광역시 영도구 동삼동 1009,129.0834388,35.0622929,DRIVE IN 영도
"경상남도 거제시 고현동 958-15 디큐브 백화점 6층경상남도 거제시 장평로 12, 6층 (장평동, 디큐브백화점)",128.6204151,34.8907541,CGV거제
경북 경산시 중방동 897  아이작레비뉴 2층경북 경산시 대학로 28길 6-5 아이작레비뉴 2층,128.736729,35.8330903,CGV경산
경상남도 고성군 고성읍 서외리 77-1경상남도 고성군 고성읍 송학로58,128.3158337,34.9769466,CGV고성
"경상북도 구미시 원평동 68-1번지경상북도 구미시 구미중앙로 44, 4층(원평동)",128.3275566,36.1300888,CGV구미
경상북도 김천시 율곡동 1123번지 더스퀘어 3층경상북도 김천시 혁신2로 15,128.183447,36.1148779,CGV김천율곡
"김해시 내동 1131-4번지 휴앤락 4층경상남도 김해시 내외중앙로 137, 4층(내동)",128.8685866,35.242169,CGV김해
"경남 김해시 율하동 1347-2 시네마플레이스 3F경남 김해시 율하2로 111, 시네마플레이스 3F",128.8135022,35.1699938,CGV김해율하
경상남도 김해시 대청동 302-5 골드프라자경상남도 김해시 삼문로 12,128.8020045,35.1919384,CGV김해장유
경상북도 포항시 북구 덕산동 235경상북도 포항시 북구 서동로 93  (덕산동),129.368709,36.0406685,CGV북포항
경상북도 안동시 용상동 1426-1 CGV안동 3층경상북도 안동시 경동로 841 CGV안동 3층,128.7493672,36.5611336,CGV안동
경남 양산시 삼호동 1010-3번지 더 퍼스트 6층경남 양산시 삼호 1길 42 더 퍼스트 6층,129.1678289,35.4139113,CGV양산삼호
"경남 진주시 충무공동 255-1번지경남 진주시 에나로127번길30 드림어반스퀘어 4층,5층",128.1550191,35.1757306,CGV진주혁신
"경상남도 창원시 팔용동 30-1 뉴코아 아울렛 8층~11층경상남도 창원시 의창구 창원대로397번길 6, 8층~11층(팔용동)",128.6420041,35.2346121,CGV창원
경남 창원시 성산구 대원동121 더시티세븐 3F경남 창원시 성산구 원이대로 320 더시티세븐 3F,128.6528932,35.240057,CGV창원더시티
"경남 창원시 성산구 상남동 77-4, 6층경남 창원시 성산구 중앙대로100번길 13, 6층",128.681386,35.2227339,CGV창원상남
"경상남도 통영시 북신동 698-1 월드 GV-ZONE 5층경상남도 통영시 원문로 27, 5층(북신동)",128.42558,34.8572748,CGV통영
전라남도 광양시 금호동 624-12 2층 몰오브광양전라남도 광양시 금호로 26 몰오브광양 2~3F,127.7220898,34.9353683,CGV광양
전라남도 광양시 광양읍 덕례리 707 LF스퀘어 3층 가든동 CGV광양 엘에프스퀘어전라남도 광양시 광양읍 순광로 466 LF스퀘어 3층 가든동 CGV광양 엘에프스퀘어,127.5667066,34.9630258,CGV광양 엘에프스퀘어
광주광역시 동구 불로동 1-21 부로타워 2층광주광역시 동구 중앙로 160번길 16-7 부로타워 2층,126.9146692,35.1469089,CGV광주금남로
"광주광역시 서구 치평동 1218-1 프리미엄아울렛 6층광주광역시 서구 시청로 67(치평동, 6층)",126.8510105,35.1542945,CGV광주상무
광주광역시 북구 용봉동 17-1 하미스포렉스광주광역시 북구 문화소통로 170 (용봉동),126.9127094,35.1823828,CGV광주용봉
광주 광역시 동구 충장로 4가 29-2 NC웨이브 11층광주 광역시 동구 중앙로 163 NC웨이브 11층,126.9130789,35.1487762,CGV광주충장로
"광주광역시 서구 광천동 49-1 유스퀘어 2~6층광주광역시 서구 무진대로 904, 2층~6층(광천동)",126.8801306,35.1603093,CGV광주터미널
광주광역시 광산구 하남동 832번지 테라스 56 피크닉몰 2층광주광역시 광산구 용아로400번길 30 테라스 56 피크닉몰 2층,126.8065154,35.1783186,CGV광주하남
전라남도 나주시 빛가람동 203-3 T.C.C타워 4층전라남도 나주시 상야4길 16-16(빛가람동),126.7930166,35.0239047,CGV나주
전라남도 목포시 상동 892번지전라남도 목포시 교육로 63  (상동),126.4198674,34.8025043,CGV목포
전라남도 목포시 상동 1129-6 5층전라남도 목포시 원형동로 53 5층,126.433214,34.7993231,CGV목포평화광장
전주시 완산구 효자동3가 1531-2 엠스퀘어 6층전주시 완산구 홍산로 260 엠스퀘어 6층,127.1064548,35.8168191,CGV서전주
"전라남도 순천시 장천동 54-1번지 2층~6층(순천시청바로옆)전라남도 순천시 장명로 22, 2층~6층(장천동)",127.4863373,34.950762,CGV순천
전라남도 순천시 해룡면 신대리 2139전라남도 순천시 해룡면 해광로 199,127.5524086,34.9259848,CGV순천신대
전라남도 여수시 웅천동 1720-3번지 2층~8층전라남도 여수시 웅천로 19-35 (웅천동) 2층~8층,127.6787759,34.7487485,CGV여수웅천
"전라북도 익산시 영등동 149-1 아오아 본건물 3~5층전라북도 익산시 무왕로 1052, 3층~5층(영등동)",126.9737638,35.9580736,CGV익산
전라북도 전주시 완산구 고사동 355-1번지전라북도 전주시 완산구 전주객사3길 72(고사동),127.1421165,35.8203124,CGV전주고사
